Question,A,B,C,D,Correct
"נער בן 17 עם אסתמה חווה קוצר נשימה חמור, צפצופים נשמעים. הביא איתו משאף סלבטמול. מה הצעד הראשוני של החובש?",המתן 10 דקות לצפייה אם יש שיפור ספונטני.,עודד שימוש במשאף והגש חמצן במסכת NRB 10 LPM.,תן אנטיביוטיקה IV במקום.,בצע אינטובציה מיד.,B
ילד בן 2 חווה פרכוס חום קצר ועכשיו בוכה ומגיב. מה הטיפול הראשוני בשטח?,"קירור עדין, הסרת בגדים, חמצן, ופינוי להמשך בירור.",מתן אינסולין למניעת היפרגליקמיה.,הזרקת דיאזפם IV מיד.,השכבה שטוחה וחימום הגוף.,A
הוזעקת לתאונת דרכים; אישה בהריון שבוע 34 עם כאבי בטן לאחר פגיעה קדמית. כיצד תמקם אותה בפינוי?,בשכיבה מלאה על הגב,בהטיית לוח גב או על צד שמאל למניעת לחץ על וריד נבוב,ישיבה זקופה במשך כל הפינוי,בשכיבה על צד ימין,B
"גבר בן 45 לאחר דקירה בלב, דופק מהיר ולחץ‑דם נמוך, צלילי לב עמומים. במה תחשוד?",טמפונדה לבבית,הלם נוירוגני,בצקת ריאות,תסחיף ריאתי,A
"מטופל 29 עם אנפילקסיס חמור, לחץ‑דם 70/40. מה המנה והדרך המומלצת של אדרנלין?","0.3 מ""ג IM בירך הצדדי","5 מ""ג IV תוך 1 דקה","50 מ""ג PO מיד","0.3 מ""ג תת‑עורי בזרוע",A
"צעיר נמצא מחוסר הכרה עם סיכוי לשימוש באופיואידים; נשימות איטיות, אישונים סיכות. מה הצעד הבא כחובש?","מתן נלוקסון 0.4 מ""ג IM/IN",המתנה להתפכחות ספונטנית,מתן מורפין נוסף לשיכוך כאבים,ביצוע החייאת נוזלים בלבד,A
"גבר בן 60 פתאום מדבר משובש, חיוך עקום וקושי בהרמת זרוע שמאל. הזמן מהתחלה מוערך ב‑15 דקות. מה עליך לעשות תחילה?",בדיקת גלוקוז להוציא היפוגליקמיה ופינוי דחוף למרכז stroke.,"מתן אספירין 300 מ""ג",המתנה 30 דקות לראות אם חולף,עיסויי חזה מניעתיים,A
פרכוס כללי נמשך מעל 5 דקות ללא הפסקה. איזה טיפול תרופתי זמין לחובש בשטח?,מידאזולם IN/IM במינון פרוטוקולי,אינסולין IV,אדרנלין IM,אספירין PO,A
באיזו זרימת חמצן מספקת קנולה אפית עד 40 % O₂?,1–2 LPM,3–4 LPM,5–6 LPM,8–10 LPM,C
מטופל עם כאבים בחזה ולחץ‑דם 90/60. האם תיתן ניטרוגליצרין?,"כן, תמיד","לא, לחץ‑דם נמוך הוא התוויית‑נגד","כן, רק אם כאב נמשך מעל שעה","כן, אבל רק במתן IV",B
"ריצה קיץ: בחור כבן 25 קורס, מבולבל, עור חם יבש, טמפ׳ 40 °C. במה תחשוד ומה תעשה?",מכת חום → קירור פעיל ופינוי מיידי,התייבשות קלה → מתן מים פומי בלבד,היפותרמיה → חימום,התקף אפילפסיה → דיאזפם,A
"עובד נחתך בכבל חשמל חי; יש סימני כניסה ויציאה קטנים, בהכרה. מה סיבוך נסתר חשוב לזכור?",הפרעת קצב לבבית ועל כן ניטור לבבי,הלם נוירוגני מיידי,חסימת עורקים בגפה,פגיעה נשימתית מאספירין,A
"נפילה מגובה, חשד לפציעת עמוד שדרה. איזו מערכת קיבוע ראש‑צוואר מתאימה להוצאתו מרכב ישיבה?",KED (חולץ ישיבה),לוח גב ארוך בלבד,חסם עורקים,חגורת בטיחות,A
דימום מהאף (אפיסטקסיס) לאחר מכה. מה הטיפול הראשוני הנכון?,לחוץ את נחיריו קדימה והטה ראש מעט קדימה למשך 10 דקות,הט לראש אחורה כדי למנוע אובדן דם,תחבושת לחץ סביב המצח,הכנסת אצבע עמוק לחלל האף להוצאת קריש,A
טביעה: גבר מחוסר דופק נשלף מהמים. מה הפעולה הראשונה לאחר הוצאתו לחוף בטוח?,התחלת עיסויי חזה מייד,שתי הנשמות הצלה ואז עיסויים,יבוש המטופל למניעת היפותרמיה,חיבור למוניטור לפני עיסויים,A
חולה COPD מבוגר עם סטורציה 84 % באוויר חדר. איזה טווח סטורציה יעד מתאים למתן חמצן?,80‑85 %,88‑92 %,95‑100 %,100 % תמיד,B
"מטופל צעיר נושם במהירות, סובל מעקצוצים באצבעות ותחושת חרדה לאחר ויכוח. במה תחשוד?","היפרוונטילציה פסיכוגנית, יש לעודד נשימה איטית בשקית",אוטם חריף,דלקת ריאות,הלם אנפילקטי,A
"חקלאי ריסס חומרי הדברה, מזיע, אישוניו צרים, ריור מוגבר. מה נוגדן החירום המתאים?",אטרופין,אדרנלין,אינסולין,נלוקסון,A
"נער נמצא צמא, מתן שתן תכוף, נשימה עמוקה מתוקה‑ריח. במה תחשוד?",DKA – חמצת קטוטית סוכרתית,היפוגליקמיה,הלם היפוולמי,חום שמש,A
"קשיש עם חום גבוה, ל""ד נמוך, קצב נשימה 28, שינויים במנטליות. איזה סוג הלם סביר?",הלם ספטי,הלם נוירוגני,הלם קרדיוגני,הלם נפחי,A
"תינוק עם שלשול ממושך, יבש בפה, בוכה בלי דמעות. מה הטיפול הראשוני?",ORS – תמיסה להחזרת נוזלים דרך הפה,אדרנלין IM,דיאזפם,שמן זית,A
הכשת נחש ארסי בגפה תחתונה לפני 30 דק׳. מה הצעד הראשוני הנכון?,"הגבלת תנועה וקיבוע הגפה בגובה הלב, פינוי דחוף",חסם עורקים חזק מעל ההכשה,חתך ויניקה של הארס,קירור עם קרח ישירות,A
"מטופל מחוסר הכרה סוכר 35 mg/dl, אין וריד זמין. איזה טיפול זמין לחובש?","גלוקגון 1 מ""ג IM",גלוקוז IV 50 % 25 גרם מיד,מים עם סוכר דרך הפה,אינסולין SC,A
"פצוע עם חזה נפוח, סטיית קנה, קולות נשימה מופחתים מצד אחד, מצב קריטי. מה הטיפול הדחוף?",ניקור חזה מחט 14G במרווח 2 בין‑צלעי קו אמצעי‑בריחי,חבישה אטומה לכל החזה,עירוי נוזלים 2 ל׳,אינהלציית חמצן נמוך,A
אישה בהריון שבוע 30 בדום לב. איזה שינוי בהחייאה תבצע?,הסטה ידנית של הרחם שמאלה במהלך עיסויים,קצב עיסויים 60 לדקה,"אין הנשמות, רק עיסויים",שימוש ב‑AED אסור בהריון,A
AED מציג קצב V‑Fib. מה הסדר הנכון?,מתן שוק מיד ואז חידוש עיסויים 2 דקות,עיסויים 2 דקות ואז שוק,אדרנלין לפני שוק,בדיקת דופק כל 5 שניות,A
פציעת ראש סגורה: מטופל מקיא ומרגיש ישנוני. איזה צעד קריטי לחובש?,קיבוע צווארון ושמירה על נתיב אוויר עם הטיה,מתן אטרופין,שחרור צווארון להקל הכאב,המתנה לשיפור ללא טיפול,A
"מבוגר עם כאב ראש פתאומי חמור, לחץ‑דם גבוה, ללא חסר נוירולוגי. במה תחשוד?",דימום סאב‑ארכנואידלי,מיגרנה פשוטה,היפוגליקמיה,הרעלת פחמן חד‑חמצני,A
התזה חומצה לעין. מה הפעולה המיידית החשובה ביותר?,השטפת העין במים/סליין פושרים לפחות 20 דקות,כיסוי עין והמתנה לרופא עיניים,טיפות אנטיביוטיקה בלבד,מתן קורטיקוסטרואידים,A
"מטופל חום 39 °C, דופק 120, נשימה 30, ל""ד 90/60, ALERT אך מבולבל. מה מדד qSOFA שלו?",0,1,2,3,C
"צעיר שתה אלכוהול רב, מקיא ומשתעל, ריח אלכוהול חריף. מה הסכנה העיקרית עבורך כחובש?",חסימת נתיב אוויר בגלל הפטכיות והקאות,הלם אנפילקטי מאלכוהול,עלייה חדה בלחץ‑דם,פגיעה מכלי דם מוחיים מיידית,A
